"","term","description","package","title"
"1","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e: Data Transform"
"2","arrange()","change order of rows based on values of columns","dplyr","R4DS2e: Data Transform"
"3","c()","create vector of numbers, characters, etc.","base","R4DS2e: Data Transform"
"4","count()","count unique values of variables","dplyr","R4DS2e: Data Transform"
"5","desc()","order in descending order","dplyr","R4DS2e: Data Transform"
"7","distinct()","select only unique/distinct rows from data frame","dplyr","R4DS2e: Data Transform"
"8","filter()","keep rows based on values of columns","dplyr","R4DS2e: Data Transform"
"9","geom_point()","add layer of points to plot","ggplot2","R4DS2e: Data Transform"
"10","geom_smooth()","create smoothed lines to plot","ggplot2","R4DS2e: Data Transform"
"11","ggplot()","create a plotting area","ggplot2","R4DS2e: Data Transform"
"13","group_by()","group data by levels of column","dplyr","R4DS2e: Data Transform"
"15","is.character()","determine if input is of type character","base","R4DS2e: Data Transform"
"16","library()","load R packages","base","R4DS2e: Data Transform"
"17","mean()","calculate mean of elements of vector","base","R4DS2e: Data Transform"
"18","mutate()","create or modify data columns","dplyr","R4DS2e: Data Transform"
"19","n()","return current group size","dplyr","R4DS2e: Data Transform"
"20","relocate()","change column order","dplyr","R4DS2e: Data Transform"
"21","rename()","rename columns","dplyr","R4DS2e: Data Transform"
"22","select()","keep specified columns","dplyr","R4DS2e: Data Transform"
"25","starts_with()","match column names that begin with string","tidyselect","R4DS2e: Data Transform"
"26","sum()","sum elements of vector","base","R4DS2e: Data Transform"
"27","summarize()","summarize data usually by grouping variable","dplyr","R4DS2e: Data Transform"
"28","tibble()","create tibble","tibble","R4DS2e: Data Transform"
"29","ungroup()","remove grouping","dplyr","R4DS2e: Data Transform"
