"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_dsrr Ch. 05"
"2","tibble()","create tibble","https://tibble.tidyverse.org/reference/tibble.html","tibble","psyteachr_dsrr Ch. 05"
"3","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_dsrr Ch. 05"
"4","left_join()","join two data sets keeping the observations in the left one","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","psyteachr_dsrr Ch. 05"
"5","right_join()","join two data sets keeping the observations in the right one","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","psyteachr_dsrr Ch. 05"
"6","inner_join()","join two data sets keeping the observations that they have in common","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","psyteachr_dsrr Ch. 05"
"7","full_join()","join two data sets keeping the observations in both","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","psyteachr_dsrr Ch. 05"
"8","semi_join()","join two data sets keeping all observations in x that have a match in y","https://dplyr.tidyverse.org/reference/filter-joins.html","dplyr","psyteachr_dsrr Ch. 05"
"9","anti_join()","join two data sets dropping all observations in x that have a match in y","https://dplyr.tidyverse.org/reference/filter-joins.html","dplyr","psyteachr_dsrr Ch. 05"
"10","bind_rows()","bind rows in dplyr","https://dplyr.tidyverse.org/reference/bind.html","dplyr","psyteachr_dsrr Ch. 05"
"11","bind_cols()","bind columns in dplyr","https://dplyr.tidyverse.org/reference/bind.html","dplyr","psyteachr_dsrr Ch. 05"
"12","dir.create()",NA,NA,NA,"psyteachr_dsrr Ch. 05"
"13","write_csv()","write data frame to comma delimited file","https://readr.tidyverse.org/reference/write_delim.html","readr","psyteachr_dsrr Ch. 05"
"14","list.files()",NA,NA,NA,"psyteachr_dsrr Ch. 05"
"15","map_df()","apply a function to multiple elements of an object in purrr, return a data frame","https://purrr.tidyverse.org/reference/map_dfr.html","purrr","psyteachr_dsrr Ch. 05"
"16","intersect()","return only observations in both x and y","https://rdrr.io/r/base/sets.html","base","psyteachr_dsrr Ch. 05"
"17","union()","return unique observations in x or y","https://rdrr.io/r/base/sets.html","base","psyteachr_dsrr Ch. 05"
"18","setdiff()","return observations in x but not y","https://rdrr.io/r/base/sets.html","base","psyteachr_dsrr Ch. 05"
"19","as.character()","coerce object to character","https://rdrr.io/r/base/character.html","base","psyteachr_dsrr Ch. 05"
"20","str()","return object structure","https://rdrr.io/r/utils/str.html","utils","psyteachr_dsrr Ch. 05"
"21","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_dsrr Ch. 05"
"22","as.numeric()","coerce object to numeric","https://rdrr.io/r/base/numeric.html","base","psyteachr_dsrr Ch. 05"
"23","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_dsrr Ch. 05"
"24","str_replace_all()","replace all matched patterns in a  string","https://stringr.tidyverse.org/reference/str_replace.html","stringr","psyteachr_dsrr Ch. 05"
"25","glimpse()",NA,NA,NA,"psyteachr_dsrr Ch. 05"
"26","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","psyteachr_dsrr Ch. 05"
"27","id()",NA,NA,NA,"psyteachr_dsrr Ch. 05"
